Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Saudi Arabia,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,2.61482,Asia,2019,0.0,53
Spain,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Spain,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137,2.39663,Europe,2019,0.0,62
Panama,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054,Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,3.00559,South America,2019,0.0,36
Brazil,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,3.50733,South America,2019,0.0,35
Uruguay,33,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Uruguay,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,2.67139,South America,2019,0.0,71
Singapore,34,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Singapore,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,1.99375,Asia,2019,0.0,85
El Salvador,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074,El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,3.22134,South America,2019,0.0,34
Italy,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Italy,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556,2.34918,Europe,2019,0.0,53
Bahrain,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,2.27405,Asia,2019,0.0,42
Slovakia,38,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Slovakia,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,2.61065,Europe,2019,0.0,50
Poland,40,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Poland,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055,2.20035,Europe,2019,0.0,58
Uzbekistan,41,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Uzbekistan,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333,2.34638,Asia,2019,0.0,25
Lithuania,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Lithuania,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182,2.60525,Europe,2019,0.0,60
Colombia,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,3.17471,South America,2019,0.0,37
Slovenia,44,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Slovenia,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635,1.79522,Europe,2019,0.0,60
Nicaragua,45,6.105,0.694,1.325,0.835,0.435,0.2,0.127,Nicaragua,5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292,2.82428,South America,2019,0.0,22
Kosovo,46,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Kosovo,5.401,0.90145,0.66062,0.54,0.14396,0.27992,0.06547,2.80998,Europe,2019,0.0,36
Argentina,47,6.086,1.092,1.432,0.881,0.471,0.066,0.05,Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,3.12985,South America,2019,0.0,45
Romania,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Romania,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679,2.45184,Europe,2019,0.0,44
Cyprus,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Cyprus,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228,2.04497,Asia,2019,0.0,58
Ecuador,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087,Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,2.77366,South America,2019,0.0,38
Kuwait,51,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Kuwait,6.239,1.61714,0.87758,0.63569,0.43166,0.15965,0.23669,2.28085,Asia,2019,0.0,40
Thailand,52,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,2.5796,Asia,2019,0.0,36
Latvia,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Latvia,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889,2.20859,Europe,2019,0.0,56
Estonia,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Estonia,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519,1.81985,Europe,2019,0.0,74
Jamaica,56,5.89,0.831,1.478,0.831,0.49,0.107,0.028,Jamaica,5.51,0.89333,0.96372,0.59469,0.43597,0.22245,0.04294,2.35682,South America,2019,0.0,43
Mauritius,57,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Mauritius,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.05203,2.20223,Africa,2019,0.0,52
Japan,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Japan,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985,1.80584,Asia,2019,0.0,73
Honduras,59,5.86,0.642,1.236,0.828,0.507,0.246,0.078,Honduras,4.871,0.69429,0.75596,0.58383,0.26755,0.2044,0.06906,2.29551,South America,2019,0.0,26
Kazakhstan,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Kazakhstan,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132,2.49325,Asia,2019,0.0,34
Bolivia,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064,Bolivia,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746,2.91635,South America,2019,0.0,31
Hungary,62,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Hungary,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472,1.95473,Europe,2019,0.0,44
Paraguay,63,5.743,0.855,1.475,0.777,0.514,0.184,0.08,Paraguay,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396,2.16091,South America,2019,0.0,28
Peru,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027,Peru,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292,2.73117,South America,2019,0.0,36
Portugal,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Portugal,5.123,1.27607,0.94367,0.79363,0.44727,0.11691,0.01521,1.53015,Europe,2019,0.0,62
Pakistan,67,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Pakistan,5.132,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388,3.18286,Asia,2019,0.0,32
Russia,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Russia,5.856,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586,2.59115,Europe,2019,0.0,28
Philippines,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Philippines,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757,2.23484,Asia,2019,0.0,34
Serbia,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Serbia,5.177,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339,2.27539,Europe,2019,0.0,39
Moldova,71,5.529,0.685,1.328,0.739,0.245,0.181,0.0,Moldova,5.897,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903,3.38007,Europe,2019,0.0,32
